# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unrooted     AMD_AMD-fTPM-ECC-ICA-AERFamily-6A668AE95CA8508559C3E1D872F2417D
unrooted     AMD_AMD-fTPM-ECC-ICA-CRDFamily-5B401A1127EA54E3685B06D275FE8399
unrooted     AMD_AMD-fTPM-ECC-ICA-GNFamily-403113170A425ABD6B04CE6BF21FD467
unrooted     AMD_AMD-fTPM-ECC-ICA-GNRFamily-842A9A2652E452CC63DBD8FA9C218ED4
unrooted     AMD_AMD-fTPM-ECC-ICA-HPTFamily-F21A726D76AF588151CA619A0596D812
unrooted     AMD_AMD-fTPM-ECC-ICA-KRKFamily-ACEB8D2B409157C74EB2EE08CED9B645
unrooted     AMD_AMD-fTPM-ECC-ICA-MDNFamily-87A9580E58935BBD40616CCF1820BEEF
unrooted     AMD_AMD-fTPM-ECC-ICA-PHX2Family-3887D9A52A04517246E45296FF1E2F8E
unrooted     AMD_AMD-fTPM-ECC-ICA-PHXFamily-3411EF15082F59EC465D7DEC188BB0A1
unrooted     AMD_AMD-fTPM-ECC-ICA-RMBFamily-D30EE6F7557055BA66AD1A1DD1157D2C
unrooted     AMD_AMD-fTPM-ECC-ICA-RPLFamily-5B8502F0A93A5B6E50D659FED374CF19
unrooted     AMD_AMD-fTPM-ECC-ICA-SHPFamily-EB7F6EC0482058DC50691212B414464A
unrooted     AMD_AMD-fTPM-ECC-ICA-STPFamily-DE88506F89845CC24D912DBA442CADCD
unrooted     AMD_AMD-fTPM-ECC-ICA-STXFamily-7C4760BD7AC95E2F5336A9D6028B1E10
unrooted     AMD_AMD-fTPM-ECC-ICA-STXHFamily-841ED9E18F875F705AFACAD1CEFAFE37
unrooted     AMD_AMD-fTPM-ECC-RNFamily
unrooted     AMD_AMD-fTPM-ECC-RVFamily
unrooted     AMD_AMD-fTPM-ECC-SSPFamily
unrooted     AMD_AMD-fTPM-RSA-ICA-AERFamily-CCB96594EB1D57D7560EFB6022F67275
unrooted     AMD_AMD-fTPM-RSA-ICA-CRDFamily-B7F5D6F2A3165E235FD1FFBE69F2BFA9
unrooted     AMD_AMD-fTPM-RSA-ICA-GNFamily-639A786220D457236F8C816E1555F565
unrooted     AMD_AMD-fTPM-RSA-ICA-GNRFamily-FE5429C191BE55C2613A0F7DC3360E89
unrooted     AMD_AMD-fTPM-RSA-ICA-HPTFamily-0B7F833A00D15BEB46BA18CCE36E0244
unrooted     AMD_AMD-fTPM-RSA-ICA-KRKFamily-C1C1ED276EC755E277AD88C79AAE8EE7
unrooted     AMD_AMD-fTPM-RSA-ICA-MDNFamily-D053AFB18A3059D86723CD7D018489D2
unrooted     AMD_AMD-fTPM-RSA-ICA-PHX2Family-D63C16CBD4705E5B5C91095FD728772B
unrooted     AMD_AMD-fTPM-RSA-ICA-PHXFamily-A993351137005452447E60D15764141E
unrooted     AMD_AMD-fTPM-RSA-ICA-RMBFamily-51ADE34A2F8253525E2321AD63F7B197
unrooted     AMD_AMD-fTPM-RSA-ICA-RPLFamily-1E34E7EF9C15FA479A9F398BC865D60
unrooted     AMD_AMD-fTPM-RSA-ICA-SHPFamily-56994D25E17B5ED968FDD36ABD64804E
unrooted     AMD_AMD-fTPM-RSA-ICA-STPFamily-E66DF8C15E99581D7EEFA04D9ECE369A
unrooted     AMD_AMD-fTPM-RSA-ICA-STXFamily-AC721D42534F54F84DBA160B17E1C920
unrooted     AMD_AMD-fTPM-RSA-ICA-STXHFamily-f9afd54db71d51bc482ed80e4a118f62
unrooted     AMD_AMD-fTPM-RSA-RNFamily
unrooted     AMD_AMD-fTPM-RSA-RVFamily
unrooted     AMD_AMD-fTPM-RSA-SSPFamily
unvalidated  Infineon_IFX_TPM_EK_Intermediate_CA_01  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-16B341E381CD5C3E799AC838CA17F1F7F3F7431E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-277631D059FA7A9553FB59DFD6E85BC122300FF0_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-2D605CD882B2BD716CCE71C90BC774D3D5BCB1D4_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-35AEE736C9B4D2861309E7815C0FA4CE40D865F6_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-4666DE766204E74DD29BB4FDC58523A1403D6A32_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-55F4DA39CA65B6681F2B7711BC3EF208A8679D1E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-81B5D99CBFAC98C5D61A8EBF26A86A086BFA3ECE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-A0854BD197F8212FACBA38991BFDDBF5D13CE9CE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-CD3401AC6E1C6F93DDD869D46A518311B3747895_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-D6F56ECFCF7EDDB7FD87ED01E127EE009A463BC9_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-E0028D87CE6C67A8751CC4B5D74F57622E75E42A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ATML-KEYID-F761A3A1F408F1090797B87127C2A2397C0ACA24_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-11227AB228983289AD2E7EE6841321901EF592F6_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-128462F2A0D16CDE1946F1000544B055BC113D10_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-1BD645FC1F90827C283E6CB526859FFAB0E0C62B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-1DDE0F406D122C3E5A4F861F94876C9E1ACDD37E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-1FCDFB8ECE408675D963E5E5108D55C984DD797A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-22BF9BF4978F4F45A4E9DBF729D8A08ADCA0A82C_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-265CF32470FC4D93C7022FA34AB4C8087948454B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-2A4A698325A1B220464EF009B01892268B25F84F_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-2AD70EB90962C541A55E2D15B85BFAD286154F0D_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-3735DDC8E300B817AEBE03503A92EDDFDF1AC71A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-3FE3E3E0383ECB899118188F4E2B9644DBD39A3C_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-IFX-KEYID-4AC90CEE68D4B5729DE4357D2C475884F409B7A6_2  Some(PathValidation(InvalidNotAfterDate))
